n:93 mse_avg:262.53 mse_y:382.88 mse_u:22.08 mse_v:21.58 psnr_avg:23.94 psnr_y:22.30 psnr_u:34.69 psnr_v:34.79 
n:94 mse_avg:258.57 mse_y:377.02 mse_u:21.75 mse_v:21.59 psnr_avg:24.01 psnr_y:22.37 psnr_u:34.76 psnr_v:34.79 
n:95 mse_avg:250.73 mse_y:365.49 mse_u:21.31 mse_v:21.09 psnr_avg:24.14 psnr_y:22.50 psnr_u:34.84 psnr_v:34.89 
n:96 mse_avg:235.57 mse_y:343.26 mse_u:20.17 mse_v:20.23 psnr_avg:24.41 psnr_y:22.77 psnr_u:35.08 psnr_v:35.07 
n:97 mse_avg:215.24 mse_y:313.32 mse_u:18.94 mse_v:19.19 psnr_avg:24.80 psnr_y:23.17 psnr_u:35.36 psnr_v:35.30 
n:98 mse_avg:209.74 mse_y:305.37 mse_u:18.44 mse_v:18.52 psnr_avg:24.91 psnr_y:23.28 psnr_u:35.47 psnr_v:35.46 
n:99 mse_avg:197.11 mse_y:287.02 mse_u:17.16 mse_v:17.41 psnr_avg:25.18 psnr_y:23.55 psnr_u:35.79 psnr_v:35.72 
n:100 mse_avg:178.02 mse_y:259.03 mse_u:15.62 mse_v:16.39 psnr_avg:25.63 psnr_y:24.00 psnr_u:36.19 psnr_v:35.99 
n:101 mse_avg:125.84 mse_y:182.51 mse_u:12.08 mse_v:12.90 psnr_avg:27.13 psnr_y:25.52 psnr_u:37.31 psnr_v:37.02 
n:102 mse_avg:60.35 mse_y:87.47 mse_u:5.64 mse_v:6.58 psnr_avg:30.32 psnr_y:28.71 psnr_u:40.62 psnr_v:39.95 
n:103 mse_avg:70.77 mse_y:103.37 mse_u:5.22 mse_v:5.95 psnr_avg:29.63 psnr_y:27.99 psnr_u:40.95 psnr_v:40.39 
n:104 mse_avg:109.16 mse_y:159.25 mse_u:8.67 mse_v:9.28 psnr_avg:27.75 psnr_y:26.11 psnr_u:38.75 psnr_v:38.45 
n:105 mse_avg:154.61 mse_y:225.73 mse_u:12.60 mse_v:12.14 psnr_avg:26.24 psnr_y:24.59 psnr_u:37.13 psnr_v:37.29 
n:106 mse_avg:154.61 mse_y:225.74 mse_u:12.58 mse_v:12.13 psnr_avg:26.24 psnr_y:24.59 psnr_u:37.13 psnr_v:37.29 
n:107 mse_avg:199.10 mse_y:290.66 mse_u:16.60 mse_v:15.40 psnr_avg:25.14 psnr_y:23.50 psnr_u:35.93 psnr_v:36.26 
n:108 mse_avg:225.97 mse_y:329.03 mse_u:20.01 mse_v:19.68 psnr_avg:24.59 psnr_y:22.96 psnr_u:35.12 psnr_v:35.19 
n:109 mse_avg:257.98 mse_y:375.89 mse_u:22.45 mse_v:21.89 psnr_avg:24.01 psnr_y:22.38 psnr_u:34.62 psnr_v:34.73 
n:110 mse_avg:262.20 mse_y:382.12 mse_u:22.78 mse_v:21.93 psnr_avg:23.94 psnr_y:22.31 psnr_u:34.55 psnr_v:34.72 
n:111 mse_avg:274.99 mse_y:401.12 mse_u:23.27 mse_v:22.17 psnr_avg:23.74 psnr_y:22.10 psnr_u:34.46 psnr_v:34.67 
n:112 mse_avg:279.15 mse_y:407.24 mse_u:23.53 mse_v:22.41 psnr_avg:23.67 psnr_y:22.03 psnr_u:34.41 psnr_v:34.63 
n:113 mse_avg:283.25 mse_y:413.32 mse_u:23.75 mse_v:22.45 psnr_avg:23.61 psnr_y:21.97 psnr_u:34.37 psnr_v:34.62 
n:114 mse_avg:285.09 mse_y:416.01 mse_u:23.83 mse_v:22.64 psnr_avg:23.58 psnr_y:21.94 psnr_u:34.36 psnr_v:34.58 
n:115 mse_avg:279.03 mse_y:407.09 mse_u:23.34 mse_v:22.48 psnr_avg:23.67 psnr_y:22.03 psnr_u:34.45 psnr_v:34.61 
n:116 mse_avg:277.36 mse_y:404.58 mse_u:23.26 mse_v:22.60 psnr_avg:23.70 psnr_y:22.06 psnr_u:34.46 psnr_v:34.59 
n:117 mse_avg:276.32 mse_y:403.07 mse_u:23.38 mse_v:22.29 psnr_avg:23.72 psnr_y:22.08 psnr_u:34.44 psnr_v:34.65 
n:118 mse_avg:272.05 mse_y:396.74 mse_u:23.16 mse_v:22.17 psnr_avg:23.78 psnr_y:22.15 psnr_u:34.48 psnr_v:34.67 
n:119 mse_avg:256.67 mse_y:373.98 mse_u:22.66 mse_v:21.44 psnr_avg:24.04 psnr_y:22.40 psnr_u:34.58 psnr_v:34.82 
n:120 mse_avg:253.47 mse_y:369.16 mse_u:22.52 mse_v:21.65 psnr_avg:24.09 psnr_y:22.46 psnr_u:34.61 psnr_v:34.78 
n:121 mse_avg:219.40 mse_y:318.82 mse_u:21.00 mse_v:20.08 psnr_avg:24.72 psnr_y:23.10 psnr_u:34.91 psnr_v:35.10 
n:122 mse_avg:217.85 mse_y:316.67 mse_u:20.64 mse_v:19.74 psnr_avg:24.75 psnr_y:23.12 psnr_u:34.98 psnr_v:35.18 
n:123 mse_avg:180.18 mse_y:262.28 mse_u:16.41 mse_v:15.54 psnr_avg:25.57 psnr_y:23.94 psnr_u:35.98 psnr_v:36.22 
n:124 mse_avg:120.38 mse_y:174.89 mse_u:11.72 mse_v:10.99 psnr_avg:27.33 psnr_y:25.70 psnr_u:37.44 psnr_v:37.72 
n:125 mse_avg:81.27 mse_y:118.01 mse_u:7.95 mse_v:7.66 psnr_avg:29.03 psnr_y:27.41 psnr_u:39.13 psnr_v:39.29 
n:126 mse_avg:41.47 mse_y:60.40 mse_u:3.92 mse_v:3.34 psnr_avg:31.95 psnr_y:30.32 psnr_u:42.20 psnr_v:42.90 
n:127 mse_avg:26.27 mse_y:38.05 mse_u:3.06 mse_v:2.35 psnr_avg:33.94 psnr_y:32.33 psnr_u:43.28 psnr_v:44.43 
n:128 mse_avg:51.57 mse_y:75.11 mse_u:4.69 mse_v:4.27 psnr_avg:31.01 psnr_y:29.37 psnr_u:41.42 psnr_v:41.83 
n:129 mse_avg:91.26 mse_y:132.31 mse_u:9.57 mse_v:8.75 psnr_avg:28.53 psnr_y:26.91 psnr_u:38.32 psnr_v:38.71 
n:130 mse_avg:97.75 mse_y:141.58 mse_u:10.54 mse_v:9.64 psnr_avg:28.23 psnr_y:26.62 psnr_u:37.90 psnr_v:38.29 
n:131 mse_avg:154.96 mse_y:224.89 mse_u:15.64 mse_v:14.59 psnr_avg:26.23 psnr_y:24.61 psnr_u:36.19 psnr_v:36.49 
n:132 mse_avg:188.65 mse_y:273.45 mse_u:19.28 mse_v:18.83 psnr_avg:25.37 psnr_y:23.76 psnr_u:35.28 psnr_v:35.38 
n:133 mse_avg:223.77 mse_y:324.69 mse_u:21.93 mse_v:21.90 psnr_avg:24.63 psnr_y:23.02 psnr_u:34.72 psnr_v:34.73 
n:134 mse_avg:252.58 mse_y:367.31 mse_u:23.11 mse_v:23.14 psnr_avg:24.11 psnr_y:22.48 psnr_u:34.49 psnr_v:34.49 
n:135 mse_avg:271.55 mse_y:395.84 mse_u:23.21 mse_v:22.73 psnr_avg:23.79 psnr_y:22.16 psnr_u:34.47 psnr_v:34.56 
n:136 mse_avg:274.41 mse_y:400.10 mse_u:23.27 mse_v:22.83 psnr_avg:23.75 psnr_y:22.11 psnr_u:34.46 psnr_v:34.55 
n:137 mse_avg:283.03 mse_y:413.36 mse_u:22.75 mse_v:21.99 psnr_avg:23.61 psnr_y:21.97 psnr_u:34.56 psnr_v:34.71 
n:138 mse_avg:283.16 mse_y:414.20 mse_u:21.24 mse_v:20.94 psnr_avg:23.61 psnr_y:21.96 psnr_u:34.86 psnr_v:34.92 
n:139 mse_avg:309.22 mse_y:454.47 mse_u:18.91 mse_v:18.51 psnr_avg:23.23 psnr_y:21.56 psnr_u:35.36 psnr_v:35.46 
n:140 mse_avg:339.04 mse_y:499.50 mse_u:18.27 mse_v:17.95 psnr_avg:22.83 psnr_y:21.15 psnr_u:35.51 psnr_v:35.59 
n:141 mse_avg:332.79 mse_y:490.87 mse_u:16.92 mse_v:16.34 psnr_avg:22.91 psnr_y:21.22 psnr_u:35.85 psnr_v:36.00 
n:142 mse_avg:332.82 mse_y:490.92 mse_u:16.93 mse_v:16.34 psnr_avg:22.91 psnr_y:21.22 psnr_u:35.84 psnr_v:36.00 
n:143 mse_avg:349.02 mse_y:515.17 mse_u:16.81 mse_v:16.62 psnr_avg:22.70 psnr_y:21.01 psnr_u:35.87 psnr_v:35.92 
n:144 mse_avg:354.98 mse_y:523.53 mse_u:18.09 mse_v:17.66 psnr_avg:22.63 psnr_y:20.94 psnr_u:35.56 psnr_v:35.66 
n:145 mse_avg:370.78 mse_y:547.02 mse_u:18.50 mse_v:18.10 psnr_avg:22.44 psnr_y:20.75 psnr_u:35.46 psnr_v:35.55 
n:146 mse_avg:372.50 mse_y:549.82 mse_u:18.17 mse_v:17.57 psnr_avg:22.42 psnr_y:20.73 psnr_u:35.54 psnr_v:35.68 
n:147 mse_avg:372.97 mse_y:550.57 mse_u:17.99 mse_v:17.54 psnr_avg:22.41 psnr_y:20.72 psnr_u:35.58 psnr_v:35.69 
n:148 mse_avg:374.02 mse_y:552.07 mse_u:17.99 mse_v:17.85 psnr_avg:22.40 psnr_y:20.71 psnr_u:35.58 psnr_v:35.61 
